ubigeo,departamento,provincia,distrito,tipomuni,MONTO_AUTORIZADO,MONTO_ACREDITADO,MUNICIPALIDAD,DEPARTAMENTO_MEF,ACREDITACION_PCT
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,20418557.6,20396056.85,MUNICIPALIDAD PROVINCIAL DE CHACHAPOYAS,AMAZONAS,99.8898024510801
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,2,599031.3,599375.2,MUNICIPALIDAD DISTRITAL DE ASUNCION,AMAZONAS,100.0574093540688
010103,AMAZONAS,CHACHAPOYAS,BALSAS,2,604515.32,604706.5,MUNICIPALIDAD DISTRITAL DE BALSAS,AMAZONAS,100.0316253358145
010104,AMAZONAS,CHACHAPOYAS,CHETO,2,735512.76,735704.5599999999,MUNICIPALIDAD DISTRITAL DE CHETO,AMAZONAS,100.02607704589653
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,2,641171.34,641793.0599999999,MUNICIPALIDAD DISTRITAL DE CHILIQUIN,AMAZONAS,100.09696628049531
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,2,631343.26,631525.13,MUNICIPALIDAD DISTRITAL DE CHUQUIBAMBA,AMAZONAS,100.02880683322729
010107,AMAZONAS,CHACHAPOYAS,GRANADA,2,605946.87,606097.91,MUNICIPALIDAD DISTRITAL DE GRANADA,AMAZONAS,100.02492627777745
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,2,882562.73,884025.49,MUNICIPALIDAD DISTRITAL DE HUANCAS,AMAZONAS,100.16574006019947
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,2,1480071.97,1480533.17,MUNICIPALIDAD DISTRITAL DE LA JALCA,AMAZONAS,100.03116064687043
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,2,913388.9,913835.34,MUNICIPALIDAD DISTRITAL DE LEIMEBAMBA,AMAZONAS,100.0488773183033
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,2,640000.54,640195.36,MUNICIPALIDAD DISTRITAL DE LEVANTO,AMAZONAS,100.03044059931574
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,2,636178.85,636485.09,MUNICIPALIDAD DISTRITAL DE MAGDALENA,AMAZONAS,100.04813740664281
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,2,597092.67,597207.7,MUNICIPALIDAD DISTRITAL DE MARISCAL CASTILLA,AMAZONAS,100.01926501626622
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,2,764358.29,764680.57,MUNICIPALIDAD DISTRITAL DE MOLINOPAMPA,AMAZONAS,100.04216347283942
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,2,603833.84,603981.03,MUNICIPALIDAD DISTRITAL DE MONTEVIDEO,AMAZONAS,100.02437591109502
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,2,600330.95,600478.58,MUNICIPALIDAD DISTRITAL DE OLLEROS,AMAZONAS,100.02459143577389
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,2,5193958.62,5194283.890000001,MUNICIPALIDAD DISTRITAL DE QUINJALCA,AMAZONAS,100.00626246806719
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,2,606684.27,606941.15,MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DE DAGUAS,AMAZONAS,100.04234162853768
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,2,690067.45,690304.29,MUNICIPALIDAD DISTRITAL DE SAN ISIDRO DE MAINO,AMAZONAS,100.03432128265143
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,2,632414.69,632773.44,MUNICIPALIDAD DISTRITAL DE SOLOCO,AMAZONAS,100.05672701878572
010121,AMAZONAS,CHACHAPOYAS,SONCHE,2,606413.4,606991.87,MUNICIPALIDAD DISTRITAL DE SONCHE,AMAZONAS,100.09539202135045
010201,AMAZONAS,BAGUA,BAGUA,1,21483866.88,21493651.009999998,MUNICIPALIDAD PROVINCIAL DE BAGUA,AMAZONAS,100.0455417549115
010202,AMAZONAS,BAGUA,ARAMANGO,2,6779617.12,6780218.04,MUNICIPALIDAD DISTRITAL DE ARAMANGO,AMAZONAS,100.00886362739021
